iter	Passed	Remaining
0	155	155646
1	156	78222
2	157	52443
3	158	39525
4	159	31773
5	160	26615
6	161	22942
7	162	20170
8	163	18004
9	164	16281
10	165	14869
11	166	13699
12	167	12722
13	168	11866
14	169	11116
15	170	10462
16	170	9887
17	171	9371
18	172	8910
19	173	8501
20	174	8136
21	175	7801
22	176	7492
23	177	7210
24	178	6953
25	179	6726
26	180	6504
27	181	6306
28	182	6126
29	183	5949
30	184	5781
31	185	5626
32	187	5481
33	188	5342
34	188	5208
35	189	5081
36	190	4960
37	191	4847
38	192	4738
39	193	4635
40	193	4536
41	194	4445
42	195	4361
43	197	4287
44	198	4211
45	199	4137
46	200	4068
47	201	3996
48	202	3927
49	203	3860
50	204	3799
51	205	3737
52	205	3678
53	206	3620
54	207	3566
55	208	3512
56	209	3460
57	210	3413
58	211	3370
59	212	3326
60	213	3281
61	214	3239
62	215	3198
63	215	3158
64	216	3118
65	217	3081
66	218	3043
67	218	3000
68	219	2964
69	220	2928
70	221	2894
71	222	2861
72	222	2830
73	223	2799
74	224	2771
75	225	2747
76	227	2721
77	228	2696
78	229	2672
79	230	2647
80	231	2622
81	232	2597
82	233	2575
83	234	2552
84	234	2526
85	235	2505
86	236	2479
87	237	2457
88	238	2436
89	239	2417
90	240	2403
91	241	2383
92	242	2364
93	243	2345
94	244	2327
95	245	2307
96	245	2289
97	246	2272
98	247	2255
99	248	2238
100	249	2221
101	250	2201
102	250	2184
103	251	2168
104	252	2153
105	253	2139
106	254	2128
107	256	2114
108	257	2101
109	257	2087
110	258	2073
111	259	2059
112	260	2046
113	261	2034
114	262	2020
115	263	2007
116	264	1995
117	265	1983
118	266	1969
119	267	1958
120	268	1946
121	268	1935
122	269	1922
123	270	1912
124	271	1903
125	272	1892
126	273	1880
127	274	1866
128	274	1855
129	275	1845
130	276	1834
131	277	1825
132	278	1815
133	279	1805
134	280	1795
135	281	1785
136	281	1776
137	282	1766
138	283	1757
139	284	1749
140	285	1742
141	286	1733
142	287	1724
143	288	1715
144	289	1706
145	290	1697
146	291	1688
147	291	1680
148	292	1671
149	293	1662
150	294	1653
151	294	1644
152	295	1636
153	296	1628
154	297	1620
155	298	1614
156	299	1607
157	300	1600
158	301	1593
159	301	1585
160	302	1577
161	303	1569
162	304	1561
163	304	1553
164	305	1546
165	306	1539
166	307	1531
167	307	1524
168	308	1517
169	309	1510
170	310	1502
171	310	1495
172	311	1488
173	312	1482
174	313	1477
175	314	1472
176	315	1466
177	316	1459
178	316	1453
179	317	1446
180	317	1438
181	318	1431
182	319	1424
183	319	1418
184	320	1412
185	321	1406
186	322	1400
187	322	1394
188	323	1389
189	324	1383
190	325	1377
191	326	1372
192	326	1367
193	328	1363
194	329	1358
195	330	1353
196	330	1348
197	331	1342
198	332	1336
199	332	1330
200	333	1325
201	334	1320
202	334	1315
203	335	1310
204	336	1304
205	337	1299
206	337	1294
207	338	1289
208	339	1284
209	340	1279
210	340	1274
211	341	1270
212	342	1266
213	343	1262
214	344	1258
215	345	1253
216	346	1248
217	346	1244
218	347	1239
219	348	1234
220	349	1230
221	349	1226
222	350	1221
223	351	1217
224	352	1212
225	352	1208
226	353	1203
227	354	1198
228	354	1194
229	355	1190
230	356	1186
231	357	1183
232	358	1180
233	359	1176
234	360	1173
235	361	1169
236	361	1165
237	362	1161
238	363	1157
239	364	1153
240	364	1149
241	365	1145
242	366	1141
243	367	1137
244	367	1133
245	368	1129
246	369	1125
247	370	1122
248	370	1118
249	371	1115
250	373	1114
251	374	1110
252	375	1108
253	376	1104
254	377	1101
255	378	1098
256	378	1095
257	379	1092
258	380	1089
259	381	1085
260	382	1082
261	383	1079
262	384	1077
263	385	1074
264	386	1072
265	387	1070
266	388	1067
267	390	1065
268	390	1062
269	391	1058
270	392	1055
271	393	1052
272	394	1049
273	394	1046
274	395	1043
275	396	1040
276	397	1038
277	398	1035
278	399	1033
279	400	1030
280	402	1028
281	403	1026
282	404	1023
283	404	1020
284	405	1018
285	406	1015
286	407	1012
287	408	1009
288	408	1005
289	409	1002
290	410	999
291	411	996
292	411	993
293	412	990
294	413	987
295	414	984
296	414	981
297	415	979
298	416	977
299	417	974
300	418	972
301	419	969
302	420	966
303	420	963
304	421	960
305	422	957
306	423	954
307	423	951
308	424	949
309	425	946
310	426	944
311	427	941
312	427	939
313	428	936
314	429	933
315	430	930
316	431	928
317	432	926
318	432	923
319	433	921
320	434	918
321	435	916
322	436	914
323	436	911
324	437	909
325	438	907
326	439	904
327	440	901
328	441	899
329	441	897
330	442	894
331	443	892
332	444	889
333	445	887
334	446	885
335	446	882
336	447	880
337	448	878
338	449	875
339	449	873
340	450	871
341	451	868
342	452	866
343	452	863
344	453	861
345	454	858
346	455	856
347	455	854
348	456	851
349	457	849
350	458	846
351	458	844
352	459	842
353	460	840
354	461	837
355	462	835
356	462	833
357	463	831
358	464	828
359	465	826
360	465	824
361	466	822
362	467	821
363	468	818
364	469	816
365	470	814
366	471	812
367	471	810
368	472	808
369	473	806
370	474	804
371	475	802
372	476	800
373	477	798
374	477	796
375	478	794
376	479	792
377	480	790
378	481	788
379	482	786
380	483	785
381	484	783
382	484	781
383	485	779
384	486	777
385	487	775
386	488	773
387	488	771
388	489	769
389	490	767
390	491	765
391	492	764
392	493	762
393	494	760
394	495	758
395	495	756
396	496	754
397	497	752
398	498	751
399	499	749
400	500	747
401	501	745
402	502	744
403	503	742
404	504	740
405	505	739
406	506	738
407	507	736
408	508	734
409	509	732
410	510	731
411	510	729
412	511	727
413	512	725
414	513	724
415	514	722
416	515	720
417	516	718
418	516	716
419	517	714
420	518	713
421	519	712
422	521	710
423	521	708
424	522	707
425	523	705
426	524	703
427	525	702
428	526	700
429	527	699
430	528	697
431	528	695
432	529	693
433	530	692
434	531	690
435	532	688
436	533	686
437	533	685
438	534	683
439	535	681
440	536	680
441	537	678
442	538	676
443	539	675
444	539	673
445	540	671
446	541	669
447	542	668
448	542	666
449	543	664
450	544	662
451	545	660
452	545	659
453	546	657
454	547	655
455	548	653
456	549	652
457	549	650
458	550	649
459	551	647
460	552	646
461	553	644
462	554	642
463	554	641
464	555	639
465	556	637
466	557	635
467	557	634
468	558	632
469	559	630
470	559	628
471	560	627
472	561	625
473	562	623
474	563	622
475	564	620
476	565	619
477	566	618
478	567	616
479	567	615
480	568	613
481	569	611
482	570	610
483	570	608
484	571	606
485	572	605
486	572	603
487	573	601
488	574	600
489	575	598
490	575	596
491	576	595
