iter	Passed	Remaining
0	176	176560
1	180	90212
2	184	61443
3	188	47020
4	192	38243
5	195	32369
6	199	28352
7	202	25085
8	204	22521
9	206	20449
10	208	18716
11	209	17272
12	211	16065
13	213	15030
14	214	14113
15	216	13314
16	217	12596
17	219	11950
18	220	11369
19	221	10841
20	222	10362
21	223	9928
22	224	9533
23	225	9174
24	226	8835
25	227	8520
26	228	8226
27	229	7954
28	229	7699
29	230	7458
30	231	7233
31	232	7021
32	232	6825
33	233	6641
34	234	6466
35	235	6301
36	236	6148
37	237	6002
38	238	5866
39	238	5734
40	240	5615
41	241	5499
42	242	5391
43	243	5284
44	244	5179
45	244	5080
46	246	4990
47	247	4900
48	247	4812
49	248	4726
50	249	4644
51	250	4565
52	251	4490
53	252	4416
54	253	4352
55	254	4289
56	255	4227
57	256	4165
58	257	4104
59	258	4047
60	259	3990
61	260	3937
62	261	3884
63	262	3832
64	262	3782
65	263	3733
66	264	3687
67	265	3641
68	266	3597
69	267	3555
70	268	3514
71	269	3478
72	270	3438
73	271	3397
74	272	3357
75	273	3319
76	273	3281
77	274	3244
78	275	3207
79	275	3172
80	276	3138
81	277	3104
82	277	3068
83	278	3036
84	279	3006
85	280	2976
86	280	2947
87	281	2919
88	283	2900
89	288	2917
90	289	2889
91	290	2862
92	290	2835
93	291	2809
94	292	2783
95	292	2758
96	293	2733
97	294	2709
98	295	2685
99	295	2662
100	296	2639
101	297	2618
102	298	2598
103	299	2577
104	299	2556
105	300	2538
106	301	2518
107	302	2500
108	303	2483
109	304	2464
110	305	2444
111	305	2426
112	306	2407
113	307	2389
114	308	2371
115	308	2354
116	309	2336
117	310	2319
118	310	2302
119	311	2286
120	313	2274
121	313	2258
122	314	2243
123	315	2227
124	316	2212
125	316	2197
126	317	2181
127	318	2167
128	318	2153
129	319	2138
130	320	2124
131	321	2111
132	321	2097
133	322	2084
134	323	2071
135	323	2058
136	324	2045
137	325	2032
138	326	2020
139	327	2009
140	328	1999
141	328	1986
142	329	1975
143	330	1963
144	331	1951
145	331	1940
146	332	1929
147	333	1918
148	333	1907
149	334	1896
150	335	1886
151	336	1875
152	336	1865
153	337	1854
154	338	1844
155	339	1834
156	339	1824
157	340	1815
158	341	1806
159	342	1798
160	343	1788
161	343	1779
162	344	1770
163	345	1760
164	346	1751
165	346	1743
166	347	1734
167	348	1725
168	349	1717
169	349	1708
170	350	1699
171	351	1691
172	352	1683
173	352	1675
174	353	1667
175	354	1659
176	355	1650
177	355	1643
178	357	1638
179	358	1630
180	358	1623
181	359	1615
182	360	1608
183	360	1600
184	361	1593
185	362	1585
186	363	1578
187	363	1571
188	364	1564
189	365	1557
190	366	1551
191	367	1544
192	367	1537
193	368	1530
194	369	1524
195	369	1517
196	371	1512
197	372	1507
198	373	1502
199	374	1496
200	375	1490
201	375	1485
202	376	1479
203	377	1473
204	378	1468
205	379	1463
206	380	1458
207	381	1453
208	382	1448
209	383	1443
210	384	1438
211	386	1436
212	387	1431
213	388	1426
214	389	1420
215	389	1415
216	391	1410
217	392	1407
218	393	1402
219	393	1396
220	394	1391
221	395	1385
222	396	1380
223	396	1375
224	397	1369
225	398	1364
226	399	1359
227	400	1354
228	401	1350
229	402	1346
230	402	1340
231	403	1335
232	404	1331
233	405	1326
234	405	1321
235	406	1316
236	407	1311
237	407	1306
238	408	1301
239	409	1296
240	410	1291
241	410	1287
242	411	1282
243	412	1278
244	413	1273
245	414	1269
246	414	1264
247	415	1261
248	416	1256
249	417	1252
250	418	1247
251	418	1243
252	419	1238
253	420	1234
254	420	1229
255	421	1225
256	422	1221
257	423	1216
258	423	1212
259	424	1208
260	425	1204
261	426	1200
262	427	1196
263	427	1192
264	428	1188
265	429	1185
266	430	1182
267	431	1178
268	432	1174
269	433	1170
270	433	1166
271	434	1162
272	435	1158
273	435	1155
274	436	1151
275	437	1147
276	438	1143
277	438	1139
278	439	1136
279	440	1132
280	441	1128
281	441	1125
282	442	1121
283	443	1117
284	444	1114
285	445	1111
286	446	1108
287	447	1105
288	447	1101
289	448	1098
290	449	1094
291	450	1091
292	450	1087
293	451	1084
294	452	1080
295	453	1077
296	453	1074
297	454	1070
